Qatar,124927
Macau,114430
Luxembourg,109192
Singapore,90531
Brunei,76743
Ireland,72632
Norway,70590
Kuwait,69669
United Arab Emirates,68245
Switzerland,61360
Hong Kong,61016
San Marino,60359
United States,59495
Saudi Arabia,55263
Netherlands,53582
Iceland,52150
Bahrain,51846
Sweden,51264
Germany,50206
Australia,49882
Taiwan,49827
Denmark,49613
Austria,49247
Canada,48141
Belgium,46301
Oman,45464
Finland,44050
United Kingdom,43620
France,43550
Japan,42659
Malta,42532
South Korea,39387
New Zealand,38502
Spain,38171
Italy,37970
Puerto Rico,37895
Cyprus,36557
Israel,36250
Czech Republic,35223
Equatorial Guinea,34865
Slovenia,34063
Slovakia,32895
Lithuania,31935
Estonia,31473
Trinidad and Tobago,31154
Portugal,30258
Poland,29251
Hungary,28910
Malaysia,28871
Seychelles,28712
Russia,27890
Greece,27776
Latvia,27291
Saint Kitts and Nevis,26849
Antigua and Barbuda,26198
Turkey,26453
Kazakhstan,26071
"Bahamas, The",25080
Chile,24588
Panama,24262
Croatia,24095
Romania,23991
Uruguay,22445
Mauritius,21628
Bulgaria,21578
Argentina,20677
Iran,20030
Mexico,19480
Lebanon,19486
Gabon,19266
Maldives,19178
Turkmenistan,18680
Belarus,18616
Botswana,18146
Thailand,17786
Barbados,17508
Montenegro,17439
Azerbaijan,17433
Costa Rica,17149
Iraq,17004
Dominican Republic,16965
World[n 1],16779
China,16624
Palau,16472
Brazil,15500
Macedonia,15203
Serbia,15164
Algeria,15150
Grenada,14779
Colombia,14455
Suriname,13876
Saint Lucia,13579
South Africa,13403
Peru,13342
Sri Lanka,13001
Egypt,12994
Mongolia,12551
Jordan,12487
Albania,12472
Venezuela,12388
Indonesia,12378
Dominica,12035
Kosovo,12003
Nauru,11995
Tunisia,11987
Saint Vincent and the Grenadines,11623
Namibia,11528
Bosnia and Herzegovina,11404
Ecuador,11234
Georgia,10644
Swaziland,9882
Fiji,9857
Libya,9792
Paraguay,9785
Jamaica,9212
Armenia,9098
El Salvador,8934
Bhutan,8720
Ukraine,8656
Morocco,8612
Belize,8341
Guyana,8266
Philippines,8229
Guatemala,8173
Bolivia,7543
Laos,7367
India,7174
Uzbekistan,6990
Cape Verde,6942
Vietnam,6876
Angola,6813
"Congo, Rep.",6707
Myanmar,6285
Nigeria,5927
Nicaragua,5823
Samoa,5737
Moldova,5657
Tonga,5605
Honduras,5499
Pakistan,5354
Timor-Leste,5008
Ghana,4605
Sudan,4580
Bangladesh,4561
Mauritania,4474
Cambodia,4010
Zambia,3997
Lesotho,3869
Côte d'Ivoire,3857
Tuvalu,3804
Papua New Guinea,3803
Kyrgyzstan,3652
Djibouti,3567
Kenya,3496
Marshall Islands,3436
Micronesia,3392
Cameroon,3359
Tanzania,3283
São Tomé and Príncipe,3208
Tajikistan,3131
Vanuatu,2780
Nepal,2690
Senegal,2678
Chad,2433
Uganda,2352
Yemen,2300
Zimbabwe,2277
Benin,2219
Mali,2169
Solomon Islands,2145
Ethiopia,2113
Rwanda,2081
Guinea,2039
Kiribati,1958
Afghanistan,1889
Burkina Faso,1884
Haiti,1810
Guinea-Bissau,1806
Sierra Leone,1791
"Gambia, The",1686
South Sudan,1503
Togo,1612
Comoros,1560
Madagascar,1554
Eritrea,1434
Mozambique,1266
Malawi,1172
Niger,1153
Liberia,867
Burundi,808
"Congo, Dem. Rep.",785
Central African Republic,681